0.4921 	WARNING 	Movie2 stim could not be imported and won't be available
76.0633 	EXP 	text_3: autoDraw = True
76.5974 	DATA 	Keypress: right
76.5982 	EXP 	New trial (rep=2, index=3): {u'colour': u'green', u'word': u'red', u'congruent': 0, u'corrAns': u'right'}
76.6007 	EXP 	window1: recordFrameIntervals = False
76.6143 	EXP 	text: autoDraw = False
76.6143 	EXP 	text_2: autoDraw = False
76.6143 	EXP 	text_3: autoDraw = False
76.6143 	EXP 	text_3: color = u'green (named)'
76.6143 	EXP 	text_3: text = u'red'
76.6143 	EXP 	text: autoDraw = True
76.6144 	EXP 	window1: recordFrameIntervals = False
77.6140 	EXP 	text: autoDraw = False
78.1307 	EXP 	text_2: autoDraw = True
79.1137 	EXP 	text_2: autoDraw = False
79.6312 	EXP 	text_3: autoDraw = True
80.2485 	DATA 	Keypress: left
80.2493 	EXP 	New trial (rep=2, index=4): {u'colour': u'yellow', u'word': u'yellow', u'congruent': 1, u'corrAns': u'left'}
80.2522 	EXP 	window1: recordFrameIntervals = False
80.2639 	EXP 	text: autoDraw = False
80.2639 	EXP 	text_2: autoDraw = False
80.2639 	EXP 	text_3: autoDraw = False
80.2639 	EXP 	text_3: color = u'yellow (named)'
80.2639 	EXP 	text_3: text = u'yellow'
80.2639 	EXP 	text: autoDraw = True
80.2640 	EXP 	window1: recordFrameIntervals = False
81.2646 	EXP 	text: autoDraw = False
81.7813 	EXP 	text_2: autoDraw = True
82.7654 	EXP 	text_2: autoDraw = False
83.2815 	EXP 	text_3: autoDraw = True
83.7327 	DATA 	Keypress: left
83.7334 	EXP 	New trial (rep=2, index=5): {u'colour': u'blue', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
83.7366 	EXP 	window1: recordFrameIntervals = False
83.7486 	EXP 	text: autoDraw = False
83.7486 	EXP 	text_2: autoDraw = False
83.7486 	EXP 	text_3: autoDraw = False
83.7486 	EXP 	text_3: color = u'blue (named)'
83.7486 	EXP 	text_3: text = u'green'
83.7486 	EXP 	text: autoDraw = True
83.7487 	EXP 	window1: recordFrameIntervals = False
84.7490 	EXP 	text: autoDraw = False
85.2660 	EXP 	text_2: autoDraw = True
86.2487 	EXP 	text_2: autoDraw = False
86.7664 	EXP 	text_3: autoDraw = True
87.4998 	DATA 	Keypress: left
87.5007 	EXP 	New trial (rep=2, index=6): {u'colour': u'blue', u'word': u'yellow', u'congruent': 0, u'corrAns': u'right'}
87.5033 	EXP 	window1: recordFrameIntervals = False
87.5181 	EXP 	text: autoDraw = False
87.5181 	EXP 	text_2: autoDraw = False
87.5181 	EXP 	text_3: autoDraw = False
87.5181 	EXP 	text_3: color = u'blue (named)'
87.5181 	EXP 	text_3: text = u'yellow'
87.5181 	EXP 	text: autoDraw = True
87.5181 	EXP 	window1: recordFrameIntervals = False
88.5163 	EXP 	text: autoDraw = False
89.0327 	EXP 	text_2: autoDraw = True
90.0176 	EXP 	text_2: autoDraw = False
90.5333 	EXP 	text_3: autoDraw = True
91.2008 	DATA 	Keypress: left
91.2015 	EXP 	New trial (rep=2, index=7): {u'colour': u'green', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
91.2036 	EXP 	window1: recordFrameIntervals = False
91.2162 	EXP 	text: autoDraw = False
91.2162 	EXP 	text_2: autoDraw = False
91.2162 	EXP 	text_3: autoDraw = False
91.2162 	EXP 	text_3: color = u'green (named)'
91.2162 	EXP 	text_3: text = u'blue'
91.2162 	EXP 	text: autoDraw = True
91.2163 	EXP 	window1: recordFrameIntervals = False
92.2176 	EXP 	text: autoDraw = False
92.7337 	EXP 	text_2: autoDraw = True
93.7180 	EXP 	text_2: autoDraw = False
94.2343 	EXP 	text_3: autoDraw = True
94.8015 	DATA 	Keypress: left
94.8022 	EXP 	New trial (rep=3, index=0): {u'colour': u'blue', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
94.8052 	EXP 	window1: recordFrameIntervals = False
94.8181 	EXP 	text: autoDraw = False
94.8181 	EXP 	text_2: autoDraw = False
94.8181 	EXP 	text_3: autoDraw = False
94.8181 	EXP 	text_3: color = u'blue (named)'
94.8181 	EXP 	text_3: text = u'green'
94.8181 	EXP 	text: autoDraw = True
94.8182 	EXP 	window1: recordFrameIntervals = False
95.8182 	EXP 	text: autoDraw = False
96.3340 	EXP 	text_2: autoDraw = True
97.3195 	EXP 	text_2: autoDraw = False
97.8187 	EXP 	text_3: autoDraw = True
98.3697 	DATA 	Keypress: left
98.3706 	EXP 	New trial (rep=3, index=1): {u'colour': u'green', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
98.3727 	EXP 	window1: recordFrameIntervals = False
98.3853 	EXP 	text: autoDraw = False
98.3853 	EXP 	text_2: autoDraw = False
98.3853 	EXP 	text_3: autoDraw = False
98.3853 	EXP 	text_3: color = u'green (named)'
98.3853 	EXP 	text_3: text = u'blue'
98.3853 	EXP 	text: autoDraw = True
98.3854 	EXP 	window1: recordFrameIntervals = False
99.3887 	EXP 	text: autoDraw = False
99.9029 	EXP 	text_2: autoDraw = True
100.8860 	EXP 	text_2: autoDraw = False
101.4038 	EXP 	text_3: autoDraw = True
101.6539 	DATA 	Keypress: left
101.6551 	EXP 	New trial (rep=3, index=2): {u'colour': u'red', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
101.6576 	EXP 	window1: recordFrameIntervals = False
101.6705 	EXP 	text: autoDraw = False
101.6705 	EXP 	text_2: autoDraw = False
101.6705 	EXP 	text_3: autoDraw = False
101.6705 	EXP 	text_3: color = u'red (named)'
101.6705 	EXP 	text_3: text = u'green'
101.6705 	EXP 	text: autoDraw = True
101.6706 	EXP 	window1: recordFrameIntervals = False
102.6706 	EXP 	text: autoDraw = False
103.1862 	EXP 	text_2: autoDraw = True
104.1698 	EXP 	text_2: autoDraw = False
104.6864 	EXP 	text_3: autoDraw = True
104.9375 	DATA 	Keypress: right
104.9382 	EXP 	New trial (rep=3, index=3): {u'colour': u'yellow', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
104.9411 	EXP 	window1: recordFrameIntervals = False
104.9540 	EXP 	text: autoDraw = False
104.9540 	EXP 	text_2: autoDraw = False
104.9540 	EXP 	text_3: autoDraw = False
104.9540 	EXP 	text_3: color = u'yellow (named)'
104.9540 	EXP 	text_3: text = u'blue'
104.9540 	EXP 	text: autoDraw = True
104.9541 	EXP 	window1: recordFrameIntervals = False
105.9533 	EXP 	text: autoDraw = False
106.4374 	DATA 	Keypress: escape
